MAp,Ms2,Mx1,st,gX,epsilon,yf,Mx2,Densidad reliquia,loglikelihood,delta,alphad,alphaf,mass_relative
233.833475965,396.572239298,46.7666951929,0.0005,2.50662827463,0.000246230870235,0.0501325654926,51.4433647122,0.122,0.00186146944398,4.67666951929,0.5,0.0002,0.1
213.048485482,57.0296877869,42.6096970964,0.0005,2.50662827463,0.000136416285633,0.0501325654926,46.870666806,0.122,0.00186146944398,4.26096970964,0.5,0.0002,0.1
499.050878328,139.782849961,99.8101756655,0.0005,2.50662827463,0.000529485304085,0.0501325654926,109.791193232,0.119,0.00046693842483,9.98101756655,0.5,0.0002,0.1
188.469123553,319.561800446,37.6938247107,0.0005,2.50662827463,0.000193662244855,0.0501325654926,41.4632071817,0.123,0.00418353638979,3.76938247107,0.5,0.0002,0.1
350.898317332,7798.76983824,70.1796634663,0.0005,2.50662827463,0.00038899391717,0.0501325654926,77.197629813,0.119,0.00046693842483,7.01796634663,0.5,0.0002,0.1
121.930570687,57.7377712383,24.3861141374,0.0005,2.50662827463,0.000121350582064,0.0501325654926,26.8247255512,0.121,0.00046589421406,2.43861141374,0.5,0.0002,0.1
406.024948381,117.971366835,81.2049896763,0.0005,2.50662827463,0.000457449792398,0.0501325654926,89.3254886439,0.118,0.00186982292777,8.12049896763,0.5,0.0002,0.1
193.619271663,2404.59803629,38.7238543326,0.0005,2.50662827463,0.000202246550923,0.0501325654926,42.5962397659,0.12,0.0,3.87238543326,0.5,0.0002,0.1
108.655530055,1013.04236591,21.731106011,0.0005,2.50662827463,0.000106875401967,0.0501325654926,23.9042166121,0.122,0.00186146944398,2.1731106011,0.5,0.0002,0.1
282.173193107,4766.51445763,56.4346386214,0.0005,2.50662827463,0.000300760358137,0.0501325654926,62.0781024836,0.123,0.00418353638979,5.64346386214,0.5,0.0002,0.1
222.492616691,494.3834323,44.4985233381,0.0005,2.50662827463,0.000235932962678,0.0501325654926,48.9483756719,0.12,0.0,4.44985233381,0.5,0.0002,0.1
244.258852375,71.0291936647,48.851770475,0.0005,2.50662827463,0.000261945569219,0.0501325654926,53.7369475225,0.119,0.00046693842483,4.8851770475,0.5,0.0002,0.1
431.99470782,3086.01069872,86.398941564,0.0005,2.50662827463,0.000487347164828,0.0501325654926,95.0388357204,0.119,0.00046693842483,8.6398941564,0.5,0.0002,0.1
419.384510631,3378.98317447,83.8769021262,0.0005,2.50662827463,0.000475530555343,0.0501325654926,92.2645923389,0.117,0.00421172825929,8.38769021262,0.5,0.0002,0.1
111.185265587,228.449706975,22.2370531174,0.0005,2.50662827463,0.000110687680815,0.0501325654926,24.4607584291,0.12,0.0,2.22370531174,0.5,0.0002,0.1
205.208707145,2513.4238199,41.041741429,0.0005,2.50662827463,0.000216099896945,0.0501325654926,45.1459155719,0.119,0.00046693842483,4.1041741429,0.5,0.0002,0.1
248.232061325,156.368534787,49.646412265,0.0005,2.50662827463,0.000261622387027,0.0501325654926,54.6110534915,0.123,0.00418353638979,4.9646412265,0.5,0.0002,0.1
222.009175876,3107.58603957,44.4018351752,0.0005,2.50662827463,0.000236671068896,0.0501325654926,48.8420186928,0.118,0.00186982292777,4.44018351752,0.5,0.0002,0.1
443.685923008,212.612486241,88.7371846016,0.0005,2.50662827463,0.000502779833228,0.0501325654926,97.6109030618,0.118,0.00186982292777,8.87371846016,0.5,0.0002,0.1
136.783695466,8403.0656567,27.3567390932,0.0005,2.50662827463,0.000137730564907,0.0501325654926,30.0924130025,0.121,0.00046589421406,2.73567390932,0.5,0.0002,0.1
123.087757477,101.248692779,24.6175514953,0.0005,2.50662827463,0.00012266213458,0.0501325654926,27.0793066448,0.121,0.00046589421406,2.46175514953,0.5,0.0002,0.1
411.387525844,2261.82421542,82.2775051688,0.0005,2.50662827463,0.000466867241195,0.0501325654926,90.5052556857,0.117,0.00421172825929,8.22775051688,0.5,0.0002,0.1
416.091702467,4286.78066158,83.2183404933,0.0005,2.50662827463,0.000460334728886,0.0501325654926,91.5401745427,0.122,0.00186146944398,8.32183404933,0.5,0.0002,0.1
229.551098695,567.649046469,45.9102197391,0.0005,2.50662827463,0.000243116332303,0.0501325654926,50.501241713,0.12,0.0,4.59102197391,0.5,0.0002,0.1
117.090186221,9712.48165039,23.4180372442,0.0005,2.50662827463,0.00011512853534,0.0501325654926,25.7598409687,0.123,0.00418353638979,2.34180372442,0.5,0.0002,0.1
163.258011043,2682.62865316,32.6516022086,0.0005,2.50662827463,0.000168708939873,0.0501325654926,35.9167624295,0.119,0.00046693842483,3.26516022086,0.5,0.0002,0.1
129.199188899,3876.12926532,25.8398377798,0.0005,2.50662827463,0.000130814218181,0.0501325654926,28.4238215577,0.119,0.00046693842483,2.58398377798,0.5,0.0002,0.1
148.116383993,5961.77078573,29.6232767985,0.0005,2.50662827463,0.00015096367443,0.0501325654926,32.5856044784,0.12,0.0,2.96232767985,0.5,0.0002,0.1
276.930682847,2972.17010215,55.3861365693,0.0005,2.50662827463,0.0002985193688,0.0501325654926,60.9247502263,0.12,0.0,5.53861365693,0.5,0.0002,0.1
135.835604877,2225.79890101,27.1671209755,0.0005,2.50662827463,0.000136433580172,0.0501325654926,29.883833073,0.121,0.00046589421406,2.71671209755,0.5,0.0002,0.1
173.553271026,60.0733995143,34.7106542052,0.0005,2.50662827463,0.00017707964161,0.0501325654926,38.1817196257,0.123,0.00418353638979,3.47106542052,0.5,0.0002,0.1
283.631540821,5149.10827234,56.7263081642,0.0005,2.50662827463,0.000307077942405,0.0501325654926,62.3989389807,0.12,0.0,5.67263081642,0.5,0.0002,0.1
275.457082806,2909.23166626,55.0914165612,0.0005,2.50662827463,0.000296923984528,0.0501325654926,60.6005582174,0.12,0.0,5.50914165612,0.5,0.0002,0.1
293.734315166,1927.07320732,58.7468630331,0.0005,2.50662827463,0.000322428824771,0.0501325654926,64.6215493364,0.118,0.00186982292777,5.87468630331,0.5,0.0002,0.1
407.712784839,1115.2325685,81.5425569678,0.0005,2.50662827463,0.00045636813537,0.0501325654926,89.6968126646,0.119,0.00046693842483,8.15425569678,0.5,0.0002,0.1
119.310769698,875.517247626,23.8621539396,0.0005,2.50662827463,0.000119226634576,0.0501325654926,26.2483693336,0.12,0.0,2.38621539396,0.5,0.0002,0.1
225.133668132,60.3382604651,45.0267336265,0.0005,2.50662827463,0.000169480170882,0.0501325654926,49.5294069891,0.119,0.00046693842483,4.50267336265,0.5,0.0002,0.1
137.925829054,80.2472317778,27.5851658107,0.0005,2.50662827463,0.000141863616383,0.0501325654926,30.3436823918,0.117,0.00421172825929,2.75851658107,0.5,0.0002,0.1
327.787245337,757.875075918,65.5574490675,0.0005,2.50662827463,0.000361615089087,0.0501325654926,72.1131939742,0.118,0.00186982292777,6.55574490675,0.5,0.0002,0.1
126.929417957,86.999178101,25.3858835915,0.0005,2.50662827463,0.000128517939635,0.0501325654926,27.9244719506,0.119,0.00046693842483,2.53858835915,0.5,0.0002,0.1
457.043586118,1530.15705756,91.4087172235,0.0005,2.50662827463,0.000515248953817,0.0501325654926,100.549588946,0.119,0.00046693842483,9.14087172235,0.5,0.0002,0.1
414.215390245,7138.43517267,82.8430780489,0.0005,2.50662827463,0.000465606090104,0.0501325654926,91.1273858538,0.119,0.00046693842483,8.28430780489,0.5,0.0002,0.1
170.816983143,115.36893096,34.1633966287,0.0005,2.50662827463,0.000176032503668,0.0501325654926,37.5797362915,0.12,0.0,3.41633966287,0.5,0.0002,0.1
175.47988844,48.5663954499,35.0959776879,0.0005,2.50662827463,0.000164483959587,0.0501325654926,38.6055754567,0.121,0.00046589421406,3.50959776879,0.5,0.0002,0.1
105.496401696,138.527921232,21.0992803391,0.0005,2.50662827463,0.000104996858887,0.0501325654926,23.209208373,0.119,0.00046693842483,2.10992803391,0.5,0.0002,0.1
134.065021548,1259.59113072,26.8130043095,0.0005,2.50662827463,0.00013618859842,0.0501325654926,29.4943047405,0.119,0.00046693842483,2.68130043095,0.5,0.0002,0.1
